Pnt,Average, Average (uV),Buffer1,Buffer1 (uV),Buffer2,Buffer2 (uV)
1.45,353108,2.631,302487,4.508,50621,754
1.50,308896,2.302,261707,3.900,47189,703
1.55,306346,2.283,244232,3.639,62114,926
1.60,305974,2.280,235103,3.503,70871,1.056
1.65,318144,2.370,228452,3.404,89692,1.337
1.70,327071,2.437,208847,3.112,118224,1.762
1.75,313960,2.339,200266,2.984,113694,1.694
1.80,314893,2.346,210047,3.130,104846,1.562
1.85,300736,2.241,206268,3.074,94468,1.408
1.90,264147,1.968,197210,2.939,66937,997
1.95,218135,1.625,169774,2.530,48361,721
2.00,178403,1.329,149836,2.233,28567,426
02.05,137817,1.027,142226,2.119,-4409,-66
2.10,113981,849,126079,1.879,-12098,-180
2.15,94079,701,114421,1.705,-20342,-303
2.20,82007,611,112921,1.683,-30914,-461
2.25,67626,504,101199,1.508,-33573,-500
2.30,32906,245,77164,1.150,-44258,-660
2.35,28837,215,58163,867,-29326,-437
2.40,40542,302,59337,884,-18795,-280
2.45,8130,61,45082,672,-36952,-551
2.50,-32833,-245,60,1,-32893,-490
2.55,-53013,-395,-11179,-167,-41834,-623
2.60,-79833,-595,-20583,-307,-59250,-883
2.65,-77641,-578,-32116,-479,-45525,-678
2.70,-100738,-751,-57689,-860,-43049,-641
2.75,-112911,-841,-71932,-1.072,-40979,-611
2.80,-120969,-901,-93634,-1.395,-27335,-407
2.85,-149851,-1.117,-106124,-1.581,-43727,-652
2.90,-183256,-1.365,-110811,-1.651,-72445,-1.080
2.95,-240986,-1.796,-149465,-2.227,-91521,-1.364
3.00,-287470,-2.142,-170630,-2.543,-116840,-1.741
03.05,-308491,-2.299,-173465,-2.585,-135026,-2.012
3.10,-324967,-2.421,-182600,-2.721,-142367,-2.121
3.15,-352739,-2.628,-203145,-3.027,-149594,-2.229
3.20,-361881,-2.696,-206597,-3.079,-155284,-2.314
3.25,-346282,-2.580,-209655,-3.124,-136627,-2.036
3.30,-341465,-2.544,-210934,-3.143,-130531,-1.945
3.35,-309031,-2.303,-203005,-3.025,-106026,-1.580
3.40,-252294,-1.880,-179063,-2.668,-73231,-1.091
3.45,-197739,-1.473,-159463,-2.376,-38276,-570
3.50,-155575,-1.159,-148485,-2.213,-7090,-106
3.55,-113266,-844,-119652,-1.783,6386,95
3.60,-50891,-379,-85372,-1.272,34481,514
3.65,17821,133,-69793,-1.040,87614,1.306
3.70,78293,583,-43620,-650,121913,1.817
3.75,119825,893,-28539,-425,148364,2.211
3.80,162647,1.212,-15493,-231,178140,2.655
3.85,237544,1.770,16975,253,220569,3.287
3.90,292832,2.182,36600,545,256232,3.818
3.95,313272,2.334,46026,686,267246,3.982
4.00,358408,2.670,69201,1.031,289207,4.310
04.05,377256,2.811,82298,1.226,294958,4.395
4.10,389825,2.905,81490,1.214,308335,4.595
4.15,409042,3.048,90798,1.353,318244,4.742
4.20,415962,3.099,97133,1.447,318829,4.751
4.25,426383,3.177,110023,1.640,316360,4.714
4.30,433274,3.228,135664,2.022,297610,4.435
4.35,406880,3.032,146595,2.185,260285,3.879
4.40,381727,2.844,150163,2.238,231564,3.451
4.45,356089,2.653,147601,2.199,208488,3.107
4.50,329660,2.456,134434,2.003,195226,2.909
4.55,292034,2.176,124468,1.855,167566,2.497
4.60,251088,1.871,103582,1.544,147506,2.198
4.65,218095,1.625,73426,1.094,144669,2.156
4.70,192842,1.437,47742,711,145100,2.162
4.75,188362,1.403,42555,634,145807,2.173
4.80,190163,1.417,42162,628,148001,2.205
4.85,202720,1.510,37876,564,164844,2.456
4.90,194194,1.447,33596,501,160598,2.393
4.95,178691,1.331,36590,545,142101,2.118
5.00,183153,1.365,46194,688,136959,2.041
05.05,168019,1.252,38825,579,129194,1.925
5.10,155951,1.162,47618,710,108333,1.614
5.15,154721,1.153,54115,806,100606,1.499
5.20,131875,983,46108,687,85767,1.278
5.25,119835,893,49253,734,70582,1.052
5.30,118103,880,42723,637,75380,1.123
5.35,77798,580,28980,432,48818,727
5.40,45738,341,36411,543,9327,139
5.45,49041,365,40158,598,8883,132
5.50,36412,271,42965,640,-6553,-98
5.55,-12017,-90,41731,622,-53748,-801
5.60,-36264,-270,22573,336,-58837,-877
5.65,-51628,-385,9073,135,-60701,-905
5.70,-76451,-570,-5193,-77,-71258,-1.062
5.75,-69885,-521,-4889,-73,-64996,-969
