"[-1.088, 0.669, -0.13, -1.557, -0.076, 0.153],""[-1.069, -0.114, 0.104, 3.718, -3.046, -0.542]"""
"[-1.043, 0.671, -0.122, -1.504, 0.084, 0.092],""[-1.069, -0.114, 0.104, 3.718, -3.046, -0.542]"""
"[-1.043, 0.671, -0.122, -1.504, 0.084, 0.092],""[-1.012, -0.124, 0.112, 3.626, -3.13, -0.588]"""
"[-1.043, 0.671, -0.122, -1.504, 0.084, 0.092],""[-1.012, -0.124, 0.112, 3.626, -3.13, -0.588]"""
"[-1.043, 0.671, -0.122, -1.504, 0.084, 0.092],""[-1.012, -0.124, 0.112, 3.626, -3.13, -0.588]"""
"[-1.043, 0.671, -0.122, -1.504, 0.084, 0.092],""[-1.012, -0.124, 0.112, 3.626, -3.13, -0.588]"""
"[-1.043, 0.671, -0.122, -1.504, 0.084, 0.092],""[-1.012, -0.124, 0.112, 3.626, -3.13, -0.588]"""
"[-1.058, 0.667, -0.131, -1.504, 0.061, 0.244],""[-1.012, -0.124, 0.112, 3.626, -3.13, -0.588]"""
"[-1.058, 0.667, -0.131, -1.504, 0.061, 0.244],""[-1.012, -0.124, 0.112, 3.626, -3.13, -0.588]"""
"[-1.058, 0.667, -0.131, -1.504, 0.061, 0.244],""[-1.029, -0.102, 0.081, 3.634, -3.107, -0.649]"""
"[-1.058, 0.667, -0.131, -1.504, 0.061, 0.244],""[-1.029, -0.102, 0.081, 3.634, -3.107, -0.649]"""
"[-1.058, 0.667, -0.131, -1.504, 0.061, 0.244],""[-1.029, -0.102, 0.081, 3.634, -3.107, -0.649]"""
"[-1.058, 0.667, -0.131, -1.504, 0.061, 0.244],""[-1.029, -0.102, 0.081, 3.634, -3.107, -0.649]"""
"[-1.058, 0.667, -0.131, -1.504, 0.061, 0.244],""[-1.029, -0.102, 0.081, 3.634, -3.107, -0.649]"""
"[-1.058, 0.667, -0.131, -1.504, 0.061, 0.244],""[-1.029, -0.102, 0.081, 3.634, -3.107, -0.649]"""
"[-1.057, 0.66, -0.132, -1.313, 0.137, 0.198],""[-1.029, -0.102, 0.081, 3.634, -3.107, -0.649]"""
"[-1.057, 0.66, -0.132, -1.313, 0.137, 0.198],""[-1.029, -0.102, 0.081, 3.634, -3.107, -0.649]"""
"[-1.057, 0.66, -0.132, -1.313, 0.137, 0.198],""[-1.044, -0.096, 0.111, 3.725, -2.954, -0.634]"""
"[-1.057, 0.66, -0.132, -1.313, 0.137, 0.198],""[-1.044, -0.096, 0.111, 3.725, -2.954, -0.634]"""
"[-1.057, 0.66, -0.132, -1.313, 0.137, 0.198],""[-1.044, -0.096, 0.111, 3.725, -2.954, -0.634]"""
"[-1.057, 0.66, -0.132, -1.313, 0.137, 0.198],""[-1.044, -0.096, 0.111, 3.725, -2.954, -0.634]"""
"[-1.057, 0.66, -0.132, -1.313, 0.137, 0.198],""[-1.044, -0.096, 0.111, 3.725, -2.954, -0.634]"""
"[-1.024, 0.658, -0.292, -1.16, 1.298, 0.229],""[-1.044, -0.096, 0.111, 3.725, -2.954, -0.634]"""
"[-1.024, 0.658, -0.292, -1.16, 1.298, 0.229],""[-1.044, -0.096, 0.111, 3.725, -2.954, -0.634]"""
"[-1.024, 0.658, -0.292, -1.16, 1.298, 0.229],""[-0.979, -0.091, 0.07, 3.641, -3.076, -0.634]"""
"[-1.024, 0.658, -0.292, -1.16, 1.298, 0.229],""[-0.979, -0.091, 0.07, 3.641, -3.076, -0.634]"""
"[-1.024, 0.658, -0.292, -1.16, 1.298, 0.229],""[-0.979, -0.091, 0.07, 3.641, -3.076, -0.634]"""
"[-1.024, 0.658, -0.292, -1.16, 1.298, 0.229],""[-0.979, -0.091, 0.07, 3.641, -3.076, -0.634]"""
"[-1.024, 0.658, -0.292, -1.16, 1.298, 0.229],""[-0.979, -0.091, 0.07, 3.641, -3.076, -0.634]"""
"[-1.037, 0.637, -0.291, -1.603, 1.74, -0.244],""[-0.979, -0.091, 0.07, 3.641, -3.076, -0.634]"""
"[-1.037, 0.637, -0.291, -1.603, 1.74, -0.244],""[-0.979, -0.091, 0.07, 3.641, -3.076, -0.634]"""
